model,mmwave_profile,avg_power_w,max_power_w,total_energy_wh,duration_s,savings_vs_allon_pct
All-on,C4001_24GHz_LOW_COST,8.075999999999997,8.075999999999999,0.6752433333333331,301.0,0.0
PiBase-style (PIR+Camera always-on),C4001_24GHz_LOW_COST,5.50178073089701,5.616,0.46001,301.0,31.874929037927046
Staged operation,C4001_24GHz_LOW_COST,4.212468438538207,6.273,0.35220916666666674,301.0,47.83966767535651
SafeGuard (continuous),C4001_24GHz_LOW_COST,5.9367973421926905,6.273,0.49638222222222217,301.0,26.488393484488704
SafeGuard (duty-cycle),C4001_24GHz_LOW_COST,3.9898870431893694,6.273,0.33359888888888894,301.0,50.595752313157874
